user_id,session_id,step_idx,hour,day_of_week,current_poi,current_lat,current_lon,current_crowd,remaining_minutes,next_poi,dwell_minutes,walk_minutes
0,0,0,13,4,Entrance,7.9569,80.76,0.8600360956645167,130,Ticket_Counter,9,1
0,0,1,13,4,Ticket_Counter,7.9572,80.7604,0.8102272322533829,120,Water_Gardens,6,1
0,0,2,13,4,Water_Gardens,7.9582,80.7605,0.8703518379890264,113,Mirror_Wall,18,4
0,0,3,13,4,Mirror_Wall,7.9601,80.7613,0.8374007473801637,91,Frescoes,6,1
0,0,4,13,4,Frescoes,7.961,80.7612,0.8702760241045818,84,Summit,10,2
0,0,5,13,4,Summit,7.963,80.7607,0.8978033070939224,72,Exit,20,10
0,1,0,10,3,Entrance,7.9569,80.76,0.8292355251491264,173,Water_Gardens,8,4
0,1,1,10,3,Water_Gardens,7.9582,80.7605,0.7674867986892308,161,Boulder_Gardens,14,2
0,1,2,10,3,Boulder_Gardens,7.959,80.761,0.8903177834176714,145,Mirror_Wall,11,1
0,1,3,10,3,Mirror_Wall,7.9601,80.7613,0.8520474230259761,133,Lion_Paws,12,1
0,1,4,10,3,Lion_Paws,7.962,80.761,0.8434523414644156,120,Exit,3,10
1,2,0,9,1,Entrance,7.9569,80.76,0.6178876439019746,228,Ticket_Counter,10,1
1,2,1,9,1,Ticket_Counter,7.9572,80.7604,0.6505030580670832,217,Boulder_Gardens,2,2
1,2,2,9,1,Boulder_Gardens,7.959,80.761,0.5488897721405326,213,Mirror_Wall,14,1
1,2,3,9,1,Mirror_Wall,7.9601,80.7613,0.6774622683673185,198,Frescoes,3,1
1,2,4,9,1,Frescoes,7.961,80.7612,0.6468977865087422,194,Lion_Paws,15,1
1,2,5,9,1,Lion_Paws,7.962,80.761,0.5630118565868346,178,Summit,11,1
1,2,6,10,1,Summit,7.963,80.7607,0.7093370228797216,166,Exit,20,11
1,3,0,10,4,Entrance,7.9569,80.76,0.7658197882930773,202,Water_Gardens,7,1
1,3,1,10,4,Water_Gardens,7.9582,80.7605,0.8365420190045929,194,Ticket_Counter,13,1
1,3,2,10,4,Ticket_Counter,7.9572,80.7604,0.7043328283528769,180,Water_Gardens,10,1
1,3,3,10,4,Water_Gardens,7.9582,80.7605,0.8384597327124728,169,Boulder_Gardens,17,1
1,3,4,10,4,Boulder_Gardens,7.959,80.761,0.7661361350364677,151,Mirror_Wall,13,1
1,3,5,11,4,Mirror_Wall,7.9601,80.7613,0.6941840310116478,137,Lion_Paws,6,1
1,3,6,11,4,Lion_Paws,7.962,80.761,0.7697469956768489,130,Exit,11,10
2,4,0,11,5,Entrance,7.9569,80.76,0.7239982356071535,215,Ticket_Counter,5,1
2,4,1,11,5,Ticket_Counter,7.9572,80.7604,0.8347538914836686,209,Water_Gardens,8,1
2,4,2,11,5,Water_Gardens,7.9582,80.7605,0.8057703606171096,200,Boulder_Gardens,14,1
2,4,3,11,5,Boulder_Gardens,7.959,80.761,0.9281423113056733,185,Mirror_Wall,10,2
2,4,4,11,5,Mirror_Wall,7.9601,80.7613,0.8175997347177413,173,Frescoes,15,1
2,4,5,11,5,Frescoes,7.961,80.7612,0.917064231297565,157,Lion_Paws,5,1
2,4,6,12,5,Lion_Paws,7.962,80.761,0.7688152157475386,151,Summit,2,1
2,4,7,12,5,Summit,7.963,80.7607,0.6823354964397874,148,Exit,20,12
2,5,0,9,3,Entrance,7.9569,80.76,0.8331089972805863,152,Ticket_Counter,7,1
2,5,1,9,3,Ticket_Counter,7.9572,80.7604,0.6214169169875069,144,Water_Gardens,5,1
2,5,2,9,3,Water_Gardens,7.9582,80.7605,0.5887367290866892,138,Mirror_Wall,23,3
2,5,3,9,3,Mirror_Wall,7.9601,80.7613,0.517147699773935,112,Frescoes,5,1
2,5,4,9,3,Frescoes,7.961,80.7612,0.7414343930863906,106,Lion_Paws,12,1
2,5,5,9,3,Lion_Paws,7.962,80.761,0.505204498686638,93,Summit,4,4
2,5,6,10,3,Summit,7.963,80.7607,0.7342890656620491,85,Exit,27,12
3,6,0,9,4,Entrance,7.9569,80.76,0.5967389979091653,196,Ticket_Counter,4,1
3,6,1,9,4,Ticket_Counter,7.9572,80.7604,0.5019515388986201,191,Boulder_Gardens,4,4
3,6,2,9,4,Boulder_Gardens,7.959,80.761,0.6127993290858751,183,Mirror_Wall,14,3
3,6,3,9,4,Mirror_Wall,7.9601,80.7613,0.6175506001091084,166,Frescoes,9,1
3,6,4,9,4,Frescoes,7.961,80.7612,0.7228604793596793,156,Summit,13,1
3,6,5,9,4,Summit,7.963,80.7607,0.7320742345785,142,Exit,30,10
3,7,0,10,4,Entrance,7.9569,80.76,0.711436345436521,182,Water_Gardens,3,1
